block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
6	1	0.59061	n/a	3.9063	5	1	2	0	33.256	0.4881	2	2	n/a
6	2	0.42316	n/a	3.9063	5	2	1	0	43.146	0.5375799999999999	2	4	n/a
6	3	0.41601	n/a	1.6	1	2	1	0	4.5036	0.4132	2	6	n/a
6	4	0.51455	n/a	3.125	4	2	2	1	4.5739	0.59892	1	5	n/a
6	5	0.54103	n/a	3.125	4	2	1	0	6.7397	0.40128	2	7	n/a
6	6	0.40826	n/a	2	2	1	2	0	3.8349	0.42778	2	9	n/a
6	7	0.43498	n/a	2.5	3	2	1	0	5.4369	0.57322	1	8	n/a
6	8	0.51929	n/a	2	2	1	2	0	3.884	0.46414	2	10	n/a
6	9	0.43334	n/a	2.5	3	1	1	1	4.3519	0.43752	2	12	n/a
6	10	0.45209	n/a	1.6	1	1	2	0	3.2979	0.53598	2	14	n/a
2	1	0.4143	2.4652	n/a	n/a	n/a	n/a	n/a	n/a	0.58196	5	13	0.1
2	2	0.43474	2.0797	n/a	n/a	n/a	n/a	n/a	n/a	0.55788	5	12	0.11
2	3	0.59172	3.5831	n/a	n/a	n/a	n/a	n/a	n/a	0.49029	5	11	0.12
2	4	0.4815	1.9217	n/a	n/a	n/a	n/a	n/a	n/a	0.42447	5	10	0.13
2	5	0.58669	2.289	n/a	n/a	n/a	n/a	n/a	n/a	0.52751	5	9	0.14
2	6	0.56115	1.8991	n/a	n/a	n/a	n/a	n/a	n/a	0.54357	5	8	0.15
2	7	0.58568	1.0809	n/a	n/a	n/a	n/a	n/a	n/a	0.48626	3	7	0.16
2	8	0.49358	1.6019	n/a	n/a	n/a	n/a	n/a	n/a	0.52827	4	9	0.17
2	9	0.48341	0.99981	n/a	n/a	n/a	n/a	n/a	n/a	0.54009	3	8	0.16
2	10	0.40494	0.84128	n/a	n/a	n/a	n/a	n/a	n/a	0.55397	3	7	0.17
2	1	0.42444	1.0316	n/a	n/a	n/a	n/a	n/a	n/a	0.41619	3	6	0.18
2	2	0.49719	1.465	n/a	n/a	n/a	n/a	n/a	n/a	0.46641	4	8	0.19
2	3	0.46576	1.2248	n/a	n/a	n/a	n/a	n/a	n/a	0.4965	3	7	0.18
2	4	0.43614	2.3449	n/a	n/a	n/a	n/a	n/a	n/a	0.49119	5	6	0.19
2	5	0.56637	1.4088	n/a	n/a	n/a	n/a	n/a	n/a	0.47896	3	5	0.2
2	6	0.4684	1.1632	n/a	n/a	n/a	n/a	n/a	n/a	0.58612	3	4	0.21
2	7	0.53661	2.1215	n/a	n/a	n/a	n/a	n/a	n/a	0.49576	5	3	0.22
2	8	0.45594	1.4607	n/a	n/a	n/a	n/a	n/a	n/a	0.55725	4	5	0.23
2	9	0.59615	1.9007	n/a	n/a	n/a	n/a	n/a	n/a	0.40393	5	4	0.22
2	10	0.43167	1.9121	n/a	n/a	n/a	n/a	n/a	n/a	0.44241	5	3	0.23
6	1	0.54666	n/a	2.5	3	1	1	1	4.6572	0.43203	2	5	n/a
6	2	0.41121	n/a	2	2	2	2	1	4.7897	0.44124	1	4	n/a
6	3	0.48343	n/a	1.6	1	2	1	0	3.5603	0.58507	2	6	n/a
6	4	0.47521	n/a	3.125	4	1	2	0	4.7428	0.55821	2	8	n/a
6	5	0.45711	n/a	3.125	4	1	2	0	4.7916	0.55292	2	10	n/a
6	6	0.47369	n/a	2	2	2	2	1	4.0976	0.57489	1	9	n/a
6	7	0.51938	n/a	2.5	3	2	1	0	4.7203	0.52081	1	8	n/a
6	8	0.49657	n/a	3.9063	5	2	1	0	5.3943	0.50278	2	10	n/a
6	9	0.47803	n/a	3.9063	5	2	1	0	5.2168	0.4851	2	12	n/a
6	10	0.52485	n/a	1.6	1	1	2	0	3.6906	0.53366	2	14	n/a
4	1	0.40383	n/a	1.25	5	2	1	0	2.97	0.55154	2	16	n/a
4	2	0.44743	n/a	1	4	1	1	1	2.4653	0.57091	1	15	n/a
4	3	0.57596	n/a	1	4	1	1	1	2.4193	0.4292	1	14	n/a
4	4	0.51433	n/a	0.64	2	2	1	0	3.1749	0.42159	2	16	n/a
4	5	0.54378	n/a	1.25	5	1	2	0	3.47	0.51271	2	18	n/a
4	6	0.5299700000000001	n/a	0.64	2	2	1	0	2.1426	0.4467	2	20	n/a
4	7	0.50987	n/a	0.8	3	2	1	0	2.4053	0.52698	1	19	n/a
4	8	0.59611	n/a	0.512	1	2	1	0	1.8013	0.48523	2	21	n/a
4	9	0.59482	n/a	0.512	1	2	1	0	3.9884	0.52035	2	23	n/a
4	10	0.47986	n/a	0.8	3	2	2	1	2.8302	0.56257	2	25	n/a
3	1	0.45896	2.4056	n/a	n/a	n/a	n/a	n/a	n/a	0.57397	4	27	0.1
3	2	0.43982	2.1055	n/a	n/a	n/a	n/a	n/a	n/a	0.58161	3	26	0.09
3	3	0.51724	2.2272	n/a	n/a	n/a	n/a	n/a	n/a	0.46449	3	25	0.1
3	4	0.47521	2.3375	n/a	n/a	n/a	n/a	n/a	n/a	0.45434	3	24	0.11
3	5	0.51734	2.9857	n/a	n/a	n/a	n/a	n/a	n/a	0.42534	5	23	0.12
3	6	0.56916	3.354	n/a	n/a	n/a	n/a	n/a	n/a	0.45943	5	22	0.13
3	7	0.55977	2.4216	n/a	n/a	n/a	n/a	n/a	n/a	0.44804	4	24	0.14
3	8	0.4982	3.1758	n/a	n/a	n/a	n/a	n/a	n/a	0.42043	5	23	0.13
3	9	0.41332	2.417	n/a	n/a	n/a	n/a	n/a	n/a	0.5008	4	25	0.14
3	10	0.55155	2.6752	n/a	n/a	n/a	n/a	n/a	n/a	0.55561	5	24	0.13
6	1	0.41656	n/a	3.9063	5	1	2	0	5.5922	0.56385	2	26	n/a
6	2	0.42869	n/a	2.5	3	2	2	1	4.3957	0.53411	2	28	n/a
6	3	0.52084	n/a	1.6	1	1	2	0	3.1484	0.43058	2	30	n/a
6	4	0.57313	n/a	3.125	4	1	2	0	5.7752	0.49207	2	32	n/a
6	5	0.54247	n/a	2	2	1	2	0	3.8081	0.53155	2	34	n/a
6	6	0.56767	n/a	2	2	1	2	0	3.7532	0.41683	2	36	n/a
6	7	0.44952	n/a	3.9063	5	2	1	0	6.1421	0.49329	2	38	n/a
6	8	0.45538	n/a	1.6	1	1	2	0	3.363	0.51084	2	40	n/a
6	9	0.47367	n/a	2.5	3	1	1	1	4.0254	0.48254	2	42	n/a
6	10	0.58905	n/a	3.125	4	2	1	0	4.7559	0.43257	2	44	n/a
1	1	0.43171	0.42162	n/a	n/a	n/a	n/a	n/a	n/a	0.46954	3	43	0.1
1	2	0.59936	0.9301700000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.48778	5	42	0.11
1	3	0.59267	0.8797700000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.41302	4	44	0.12
1	4	0.49738	0.82322	n/a	n/a	n/a	n/a	n/a	n/a	0.46054	4	46	0.11
1	5	0.47808	1.0212	n/a	n/a	n/a	n/a	n/a	n/a	0.47409	5	45	0.1
1	6	0.54048	0.8161	n/a	n/a	n/a	n/a	n/a	n/a	0.59996	4	47	0.11
1	7	0.58522	0.90483	n/a	n/a	n/a	n/a	n/a	n/a	0.43568	5	46	0.1
1	8	0.53911	0.85715	n/a	n/a	n/a	n/a	n/a	n/a	0.42253	4	48	0.11
1	9	0.44264	0.84373	n/a	n/a	n/a	n/a	n/a	n/a	0.44147	4	50	0.1
1	10	0.48963	0.84617	n/a	n/a	n/a	n/a	n/a	n/a	0.46702	4	52	0.09
1	1	0.49455	0.82516	n/a	n/a	n/a	n/a	n/a	n/a	0.58045	4	54	0.08
1	2	0.55662	0.79801	n/a	n/a	n/a	n/a	n/a	n/a	0.50458	4	56	0.07000000000000001
1	3	0.53564	0.82877	n/a	n/a	n/a	n/a	n/a	n/a	0.51737	4	58	0.06
1	4	0.4581	0.81519	n/a	n/a	n/a	n/a	n/a	n/a	0.50465	4	60	0.05
1	5	0.5006	0.73409	n/a	n/a	n/a	n/a	n/a	n/a	0.47653	3	59	0.04
1	6	0.5091599999999999	0.76407	n/a	n/a	n/a	n/a	n/a	n/a	0.50201	4	61	0.05
1	7	0.48545	0.79181	n/a	n/a	n/a	n/a	n/a	n/a	0.47961	4	63	0.04
1	8	0.44044	0.88157	n/a	n/a	n/a	n/a	n/a	n/a	0.59555	5	62	0.03
1	9	0.43192	0.73443	n/a	n/a	n/a	n/a	n/a	n/a	0.47031	3	61	0.04
1	10	0.45014	0.7388	n/a	n/a	n/a	n/a	n/a	n/a	0.46209	3	60	0.05
3	1	0.52322	1.9889	n/a	n/a	n/a	n/a	n/a	n/a	0.50531	3	59	0.14
3	2	0.41896	1.632	n/a	n/a	n/a	n/a	n/a	n/a	0.40692	3	58	0.15
3	3	0.54136	1.9963	n/a	n/a	n/a	n/a	n/a	n/a	0.58182	3	57	0.16
3	4	0.4682	1.8441	n/a	n/a	n/a	n/a	n/a	n/a	0.54279	3	56	0.17
3	5	0.45831	1.9136	n/a	n/a	n/a	n/a	n/a	n/a	0.56211	3	55	0.18
3	6	0.43824	2.5102	n/a	n/a	n/a	n/a	n/a	n/a	0.58915	4	57	0.19
3	7	0.59774	2.5534	n/a	n/a	n/a	n/a	n/a	n/a	0.44003	4	59	0.18
3	8	0.5132100000000001	2.9543	n/a	n/a	n/a	n/a	n/a	n/a	0.58263	5	58	0.17
3	9	0.5958599999999999	2.3727	n/a	n/a	n/a	n/a	n/a	n/a	0.52346	4	60	0.18
3	10	0.45291	2.4191	n/a	n/a	n/a	n/a	n/a	n/a	0.59929	4	62	0.17
2	1	0.46624	1.6439	n/a	n/a	n/a	n/a	n/a	n/a	0.44813	4	64	0.24
2	2	0.44263	1.7584	n/a	n/a	n/a	n/a	n/a	n/a	0.41872	4	66	0.23
2	3	0.58849	1.8726	n/a	n/a	n/a	n/a	n/a	n/a	0.56369	5	65	0.22
2	4	0.49534	1.7485	n/a	n/a	n/a	n/a	n/a	n/a	0.4352	4	67	0.23
2	5	0.5525	1.7915	n/a	n/a	n/a	n/a	n/a	n/a	0.43156	4	69	0.22
2	6	0.5743200000000001	1.7564	n/a	n/a	n/a	n/a	n/a	n/a	0.48629	4	71	0.21
2	7	0.55874	1.5627	n/a	n/a	n/a	n/a	n/a	n/a	0.57992	4	73	0.2
2	8	0.53393	1.7253	n/a	n/a	n/a	n/a	n/a	n/a	0.48543	4	75	0.19
2	9	0.56311	1.8603	n/a	n/a	n/a	n/a	n/a	n/a	0.40739	5	74	0.18
2	10	0.5099	1.4779	n/a	n/a	n/a	n/a	n/a	n/a	0.47901	4	76	0.19
1	1	0.47169	0.83978	n/a	n/a	n/a	n/a	n/a	n/a	0.57052	4	78	0.06
1	2	0.41182	0.8603	n/a	n/a	n/a	n/a	n/a	n/a	0.44722	5	77	0.05
1	3	0.42484	0.74498	n/a	n/a	n/a	n/a	n/a	n/a	0.47173	4	79	0.06
1	4	0.48732	0.83899	n/a	n/a	n/a	n/a	n/a	n/a	0.40847	4	81	0.05
1	5	0.56012	1.2211	n/a	n/a	n/a	n/a	n/a	n/a	0.52583	5	80	0.04
1	6	0.46465	0.79282	n/a	n/a	n/a	n/a	n/a	n/a	0.5971	4	82	0.05
1	7	0.45452	0.83448	n/a	n/a	n/a	n/a	n/a	n/a	0.51223	4	84	0.04
1	8	0.42463	1.229	n/a	n/a	n/a	n/a	n/a	n/a	0.44471	5	83	0.03
1	9	0.57211	0.79982	n/a	n/a	n/a	n/a	n/a	n/a	0.46979	4	85	0.04
1	10	0.5178199999999999	0.78613	n/a	n/a	n/a	n/a	n/a	n/a	0.49738	4	87	0.03
5	1	0.56433	n/a	1.056	1	1	2	0	2.5246	0.42025	2	89	n/a
5	2	0.4671	n/a	2.0625	4	2	1	0	3.6031	0.42953	2	91	n/a
5	3	0.47959	n/a	2.5781	5	2	1	0	4.0521	0.53582	2	93	n/a
5	4	0.43918	n/a	1.65	3	2	2	1	3.1851	0.48809	2	95	n/a
5	5	0.56823	n/a	2.5781	5	1	2	0	4.0848	0.47752	2	97	n/a
5	6	0.44039	n/a	1.056	1	2	1	0	2.469	0.45879	2	99	n/a
5	7	0.58753	n/a	1.65	3	1	1	1	4.3944	0.42047	2	101	n/a
5	8	0.48129	n/a	1.32	2	2	1	0	2.8231	0.40656	2	103	n/a
5	9	0.41705	n/a	1.32	2	2	1	0	2.8837	0.53177	2	105	n/a
5	10	0.41742	n/a	2.0625	4	2	2	1	3.4798	0.50391	1	104	n/a
6	1	0.55041	n/a	2	2	1	2	0	4.72	0.44517	2	106	n/a
6	2	0.58953	n/a	2	2	1	2	0	3.8608	0.57733	2	108	n/a
6	3	0.4865	n/a	1.6	1	1	2	0	3.2484	0.59045	2	110	n/a
6	4	0.42378	n/a	1.6	1	2	1	0	3.0334	0.53483	2	112	n/a
6	5	0.59377	n/a	3.125	4	2	1	0	4.4603	0.41366	2	114	n/a
6	6	0.57507	n/a	2.5	3	1	1	1	3.774	0.42296	2	116	n/a
6	7	0.52949	n/a	2.5	3	2	1	0	4.3476	0.40749	1	115	n/a
6	8	0.54954	n/a	3.9063	5	2	1	0	5.2564	0.55308	2	117	n/a
6	9	0.47105	n/a	3.9063	5	1	2	0	5.4092	0.49727	2	119	n/a
6	10	0.5937	n/a	3.125	4	2	1	0	4.4773	0.4898	2	121	n/a
4	1	0.44301	n/a	1.25	5	2	1	0	2.7423	0.55463	2	123	n/a
4	2	0.48332	n/a	0.512	1	1	2	0	2.4536	0.44812	2	125	n/a
4	3	0.45938	n/a	1	4	2	1	0	3.1783	0.59414	2	127	n/a
4	4	0.40747	n/a	0.64	2	1	2	0	2.4827	0.50476	2	129	n/a
4	5	0.57179	n/a	0.8	3	2	2	1	2.4906	0.48248	2	131	n/a
4	6	0.50253	n/a	0.64	2	2	1	0	1.9271	0.44626	2	133	n/a
4	7	0.50609	n/a	0.8	3	2	2	1	2.3892	0.48146	2	135	n/a
4	8	0.5531199999999999	n/a	0.512	1	1	2	0	2.4473	0.53731	2	137	n/a
4	9	0.5155	n/a	1	4	1	2	0	3.219	0.5204	2	139	n/a
4	10	0.56781	n/a	1.25	5	2	1	0	2.6466	0.49916	2	141	n/a
3	1	0.59352	2.1497	n/a	n/a	n/a	n/a	n/a	n/a	0.43606	3	140	0.16
3	2	0.48683	2.4647	n/a	n/a	n/a	n/a	n/a	n/a	0.5117	4	142	0.17
3	3	0.59227	2.2718	n/a	n/a	n/a	n/a	n/a	n/a	0.40994	3	141	0.16
3	4	0.55078	2.7794	n/a	n/a	n/a	n/a	n/a	n/a	0.42518	5	140	0.17
3	5	0.4008	1.8902	n/a	n/a	n/a	n/a	n/a	n/a	0.50093	3	139	0.18
3	6	0.50504	2.331	n/a	n/a	n/a	n/a	n/a	n/a	0.45343	4	141	0.19
3	7	0.42637	2.6314	n/a	n/a	n/a	n/a	n/a	n/a	0.49501	4	143	0.18
3	8	0.49369	2.2146	n/a	n/a	n/a	n/a	n/a	n/a	0.47185	3	142	0.17
3	9	0.51693	1.8723	n/a	n/a	n/a	n/a	n/a	n/a	0.55508	3	141	0.18
3	10	0.59906	2.4617	n/a	n/a	n/a	n/a	n/a	n/a	0.4573	4	143	0.19
1	1	0.45009	0.85421	n/a	n/a	n/a	n/a	n/a	n/a	0.5916400000000001	5	142	0.02
1	2	0.44825	0.7384500000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.59689	3	141	0.03
1	3	0.44593	0.70783	n/a	n/a	n/a	n/a	n/a	n/a	0.46373	3	140	0.04
1	4	0.48216	1.2253	n/a	n/a	n/a	n/a	n/a	n/a	0.57795	5	139	0.05
1	5	0.42448	0.86563	n/a	n/a	n/a	n/a	n/a	n/a	0.4395	5	138	0.06
1	6	0.47118	0.73321	n/a	n/a	n/a	n/a	n/a	n/a	0.50225	4	140	0.07000000000000001
1	7	0.43328	0.82133	n/a	n/a	n/a	n/a	n/a	n/a	0.5917	4	142	0.06
1	8	0.47784	0.76503	n/a	n/a	n/a	n/a	n/a	n/a	0.46855	4	144	0.05
1	9	0.55768	0.86913	n/a	n/a	n/a	n/a	n/a	n/a	0.55318	5	143	0.04
1	10	0.56206	0.59318	n/a	n/a	n/a	n/a	n/a	n/a	0.4701	3	142	0.05
2	1	0.40146	0.78921	n/a	n/a	n/a	n/a	n/a	n/a	0.47647	3	141	0.18
2	2	0.5876	1.0255	n/a	n/a	n/a	n/a	n/a	n/a	0.5739300000000001	3	140	0.19
2	3	0.50024	1.3074	n/a	n/a	n/a	n/a	n/a	n/a	0.49766	3	139	0.2
2	4	0.5097699999999999	1.3721	n/a	n/a	n/a	n/a	n/a	n/a	0.48529	3	138	0.21
2	5	0.57696	1.681	n/a	n/a	n/a	n/a	n/a	n/a	0.41765	4	140	0.22
2	6	0.52886	1.7541	n/a	n/a	n/a	n/a	n/a	n/a	0.41897	4	142	0.21
2	7	0.43901	1.5922	n/a	n/a	n/a	n/a	n/a	n/a	0.41551	4	144	0.2
2	8	0.4686	1.8003	n/a	n/a	n/a	n/a	n/a	n/a	0.5684	4	146	0.19
